Total Labor Employment Index,Total Wages Index,Cluster
97.3,85.8,0
100.1,88.2,0
99.1,88.4,0
101.3,91.8,0
103.1,95.7,0
103.0,97.6,0
101.4,98.9,0
100.0,100.0,0
100.3,102.0,0
103.1,105.7,0
107.7,113.5,1
113.2,123.0,1
115.1,128.0,1
119.5,136.5,1
122.2,145.5,1
189.9,195.5,2
183.1,196.0,2
175.2,191.2,2
164.3,183.4,2
140.4,154.9,1
111.7,116.0,1
100.5,102.3,0
100.0,100.0,0
108.0,108.0,0
124.2,127.6,1
141.5,148.6,1
155.1,170.4,2
161.0,163.9,2
164.4,185.1,2
168.6,195.6,2
90.4,73.9,0
91.6,74.9,0
93.4,76.8,0
96.7,81.8,0
97.7,84.3,0
98.8,86.8,0
100.2,90.6,0
100.0,100.0,0
101.4,103.7,0
103.7,108.4,0
105.8,115.1,1
107.7,121.1,1
109.1,124.8,1
110.7,129.1,1
111.5,135.6,1
131.5,117.8,1
116.2,103.6,0
105.5,96.9,0
106.1,100.5,0
106.0,102.3,0
94.3,89.8,0
96.8,93.7,0
100.0,100.0,0
103.9,107.9,0
107.8,114.8,1
112.1,122.1,1
114.2,127.0,1
117.7,135.8,1
122.9,146.0,1
126.8,156.6,1
125.0,108.2,1
105.0,79.0,0
85.8,61.9,0
86.0,68.4,0
96.3,86.2,0
96.7,93.0,0
93.8,95.4,0
100.0,100.0,0
98.8,97.5,0
105.1,111.7,0
110.4,129.2,1
114.3,143.8,1
108.5,133.5,1
114.9,155.4,1
121.1,179.8,2
163.1,195.8,2
161.0,196.8,2
145.3,180.4,2
120.3,147.0,1
112.7,118.8,1
113.0,105.3,0
132.6,114.5,1
100.0,100.0,0
118.6,114.6,1
124.3,126.3,1
131.2,125.5,1
105.4,105.7,0
95.1,109.6,0
79.7,101.5,0
77.0,107.4,0
229.1,174.0,2
176.0,134.3,2
153.8,96.7,1
130.8,91.1,0
108.2,84.3,0
95.9,84.8,0
92.5,91.0,0
100.0,100.0,0
100.0,104.3,0
105.1,108.7,0
113.8,116.1,1
119.0,117.8,1
115.9,111.6,1
120.3,109.3,1
123.1,117.2,1
108.9,86.0,0
102.7,82.2,0
101.1,83.4,0
103.8,89.6,0
103.1,94.5,0
103.5,96.4,0
100.1,96.9,0
100.0,100.0,0
105.0,105.8,0
110.3,114.0,1
116.3,121.8,1
112.8,124.4,1
112.8,125.7,1
109.3,129.7,1
106.2,137.0,1
114.1,99.2,0
111.8,98.2,0
109.8,98.6,0
109.0,101.6,0
108.2,102.5,0
106.1,102.3,0
103.6,101.6,0
100.0,100.0,0
98.9,100.8,0
99.7,104.8,0
101.9,108.8,0
105.6,115.6,1
108.9,111.2,0
113.4,124.5,1
115.1,130.8,1
150.9,106.8,1
146.3,107.0,1
126.9,102.8,1
117.4,103.8,0
108.4,105.0,0
102.9,107.1,0
100.4,108.1,0
100.0,100.0,0
98.8,102.1,0
102.3,107.5,0
107.6,113.8,1
115.3,118.6,1
123.1,120.6,1
128.9,124.9,1
129.3,136.0,1
113.7,90.6,0
104.5,87.4,0
104.8,87.3,0
102.9,87.6,0
100.2,87.7,0
96.9,90.5,0
98.8,93.9,0
100.0,100.0,0
103.5,103.9,0
107.3,122.3,1
117.1,148.8,1
139.2,206.4,2
137.0,223.2,2
145.0,258.7,3
152.0,317.5,3
182.5,187.7,2
124.8,132.2,1
89.1,85.6,0
82.1,79.1,0
76.0,72.4,0
76.3,74.2,0
85.2,89.4,0
100.0,100.0,0
114.2,117.5,1
123.6,128.6,1
138.6,152.4,1
146.0,162.0,2
139.1,155.9,1
143.4,174.0,2
169.7,217.7,2
138.9,134.4,1
134.2,130.3,1
130.0,125.4,1
126.0,125.0,1
119.4,115.5,1
109.4,105.4,0
103.3,98.9,0
100.0,100.0,0
99.7,101.1,0
98.2,101.2,0
98.3,103.2,0
99.3,107.6,0
101.6,100.6,0
108.0,123.4,1
116.3,143.0,1
133.1,148.0,1
104.7,78.5,0
86.1,61.7,0
89.4,69.8,0
89.4,74.6,0
90.5,83.0,0
95.4,91.8,0
100.0,100.0,0
95.3,103.7,0
96.9,118.3,1
101.1,132.2,1
103.0,144.1,1
101.8,149.2,1
103.8,163.4,1
101.1,173.5,1
108.7,88.6,0
107.0,92.2,0
106.4,92.8,0
105.0,93.2,0
103.1,95.8,0
100.1,96.4,0
100.4,99.4,0
100.0,100.0,0
101.6,103.2,0
104.8,109.8,0
107.1,114.6,1
109.7,120.1,1
106.1,117.8,1
106.4,122.3,1
106.5,128.1,1
149.7,130.1,1
94.9,71.4,0
77.0,54.9,0
83.9,63.9,0
92.6,71.9,0
102.1,85.3,0
102.2,95.1,0
100.0,100.0,0
92.9,95.5,0
96.9,105.2,0
104.1,122.9,1
108.0,138.7,1
104.6,144.3,1
104.8,154.5,1
100.2,162.3,1
123.9,102.8,0
115.2,99.3,0
106.6,95.7,0
101.4,95.4,0
97.7,94.9,0
90.2,88.3,0
90.8,89.4,0
100.0,100.0,0
101.4,104.2,0
86.0,96.6,0
85.1,99.3,0
90.3,113.2,0
95.0,119.1,1
95.2,127.5,1
96.1,137.4,1
133.4,119.5,1
130.1,120.5,1
125.6,117.7,1
123.2,117.2,1
118.5,115.3,1
108.1,107.5,0
101.9,101.5,0
100.0,100.0,0
99.7,102.7,0
102.7,107.0,0
106.3,112.7,0
109.9,118.7,1
112.1,123.3,1
114.7,128.9,1
89.8,73.9,0
86.0,69.9,0
84.7,74.8,0
87.9,77.1,0
92.8,83.9,0
95.6,90.0,0
97.7,94.9,0
100.0,100.0,0
102.7,105.5,0
107.0,115.2,1
110.8,123.5,1
114.2,131.0,1
113.9,133.3,1
114.7,141.4,1
119.9,153.0,1
106.9,88.9,0
111.0,95.8,0
112.4,99.5,0
120.9,111.5,1
123.2,113.8,1
114.5,104.9,0
106.0,101.5,0
100.0,100.0,0
99.1,103.4,0
101.3,111.3,0
105.7,126.3,1
111.0,140.0,1
111.4,145.8,1
110.8,156.4,1
111.7,177.6,1
217.1,207.5,2
195.5,196.0,2
176.7,177.7,2
157.8,157.0,2
135.5,132.0,1
114.2,113.2,1
104.3,102.9,0
100.0,100.0,0
96.0,95.2,0
97.7,96.8,0
99.9,100.7,0
102.1,106.7,0
101.8,105.1,0
103.6,113.0,0
105.7,119.9,1
129.0,98.1,0
109.1,87.9,0
92.9,77.4,0
92.3,81.8,0
99.3,90.3,0
96.8,90.7,0
94.6,88.5,0
100.0,100.0,0
105.0,119.7,1
104.1,130.4,1
110.6,195.2,2
116.3,244.9,3
120.2,265.2,3
126.4,293.5,3
129.5,332.7,3
84.4,71.3,0
85.2,71.3,0
84.7,72.7,0
91.2,78.4,0
96.1,84.7,0
95.6,88.8,0
96.5,92.0,0
100.0,100.0,0
105.4,108.2,0
109.2,112.8,1
114.9,119.6,1
117.7,129.8,1
119.0,125.8,1
121.3,131.9,1
125.2,147.3,1
161.9,97.8,1
159.8,98.9,1
144.6,103.4,1
124.9,105.3,1
110.1,102.7,0
99.9,100.6,0
99.4,100.5,0
100.0,100.0,0
99.2,101.4,0
102.6,104.0,0
107.5,108.4,0
117.6,110.9,1
120.5,117.6,1
125.8,125.9,1
135.6,134.9,1
116.3,104.1,0
118.6,105.7,0
115.5,105.4,0
111.3,105.1,0
106.3,100.7,0
102.0,97.5,0
100.8,95.7,0
100.0,100.0,0
101.2,104.7,0
103.7,111.0,0
107.2,123.0,1
114.1,138.6,1
107.3,133.6,1
103.2,135.1,1
105.1,131.0,1
110.4,99.3,0
107.0,97.3,0
96.5,93.2,0
94.3,92.4,0
92.9,91.4,0
93.0,90.7,0
96.4,94.7,0
100.0,100.0,0
102.7,107.4,0
108.4,114.3,1
108.7,123.1,1
111.8,132.5,1
