size_emp,Year,OBS_VALUE,Country
TOTAL,2011,31573,Austria
TOTAL,2012,32174,Austria
TOTAL,2013,33518,Austria
TOTAL,2014,34227,Austria
TOTAL,2015,34564,Austria
TOTAL,2016,35078,Austria
TOTAL,2017,36157,Austria
TOTAL,2018,35872,Austria
TOTAL,2019,36707,Austria
TOTAL,2020,37261,Austria
TOTAL,2011,19905,Switzerland
TOTAL,2012,20078,Switzerland
TOTAL,2013,21065,Switzerland
TOTAL,2014,21661,Switzerland
TOTAL,2015,21576,Switzerland
TOTAL,2016,21364,Switzerland
TOTAL,2017,21425,Switzerland
TOTAL,2018,21342,Switzerland
TOTAL,2019,21788,Switzerland
TOTAL,2020,22165,Switzerland
TOTAL,2011,9266,Cyprus
TOTAL,2012,8640,Cyprus
TOTAL,2013,7603,Cyprus
TOTAL,2014,7197,Cyprus
TOTAL,2015,7399,Cyprus
TOTAL,2016,7330,Cyprus
TOTAL,2017,7886,Cyprus
TOTAL,2018,8461,Cyprus
TOTAL,2019,9001,Cyprus
TOTAL,2020,9310,Cyprus
TOTAL,2011,243115,Germany
TOTAL,2012,274002,Germany
TOTAL,2013,267849,Germany
TOTAL,2014,338535,Germany
TOTAL,2015,332411,Germany
TOTAL,2016,358919,Germany
TOTAL,2017,338475,Germany
TOTAL,2018,357187,Germany
TOTAL,2019,376853,Germany
TOTAL,2020,393852,Germany
TOTAL,2011,31575,Denmark
TOTAL,2012,31300,Denmark
TOTAL,2013,30707,Denmark
TOTAL,2014,31281,Denmark
TOTAL,2015,31197,Denmark
TOTAL,2016,31973,Denmark
TOTAL,2017,32643,Denmark
TOTAL,2018,33306,Denmark
TOTAL,2019,33937,Denmark
TOTAL,2020,34755,Denmark
TOTAL,2011,7888,Estonia
TOTAL,2012,8376,Estonia
TOTAL,2013,8870,Estonia
TOTAL,2014,9029,Estonia
TOTAL,2015,9500,Estonia
TOTAL,2016,10167,Estonia
TOTAL,2017,10931,Estonia
TOTAL,2018,11587,Estonia
TOTAL,2019,12448,Estonia
TOTAL,2020,12958,Estonia
TOTAL,2011,92699,Greece
TOTAL,2012,86873,Greece
TOTAL,2013,84622,Greece
TOTAL,2014,86988,Greece
TOTAL,2015,74336,Greece
TOTAL,2016,77234,Greece
TOTAL,2017,61832,Greece
TOTAL,2018,59782,Greece
TOTAL,2019,61720,Greece
TOTAL,2020,62056,Greece
TOTAL,2011,342257,Spain
TOTAL,2012,320872,Spain
TOTAL,2013,320086,Spain
TOTAL,2014,346822,Spain
TOTAL,2015,377795,Spain
TOTAL,2016,367601,Spain
TOTAL,2017,376235,Spain
TOTAL,2018,380029,Spain
TOTAL,2019,382186,Spain
TOTAL,2020,379025,Spain
TOTAL,2011,42785,Finland
TOTAL,2012,42781,Finland
TOTAL,2013,42844,Finland
TOTAL,2014,41827,Finland
TOTAL,2015,41616,Finland
TOTAL,2016,40891,Finland
TOTAL,2017,41110,Finland
TOTAL,2018,40809,Finland
TOTAL,2019,41403,Finland
TOTAL,2020,42375,Finland
TOTAL,2011,464125,France
TOTAL,2012,512864,France
TOTAL,2013,536488,France
TOTAL,2014,575733,France
TOTAL,2015,494099,France
TOTAL,2016,507048,France
TOTAL,2017,468974,France
TOTAL,2018,472425,France
TOTAL,2019,486876,France
TOTAL,2020,501189,France
TOTAL,2011,21987,Croatia
TOTAL,2012,20170,Croatia
TOTAL,2013,19236,Croatia
TOTAL,2014,18359,Croatia
TOTAL,2015,17575,Croatia
TOTAL,2016,17598,Croatia
TOTAL,2017,17994,Croatia
TOTAL,2018,18826,Croatia
TOTAL,2019,22959,Croatia
TOTAL,2020,24044,Croatia
TOTAL,2011,65322,Hungary
TOTAL,2012,60284,Hungary
TOTAL,2013,55471,Hungary
TOTAL,2014,56765,Hungary
TOTAL,2015,60724,Hungary
TOTAL,2016,63871,Hungary
TOTAL,2017,69658,Hungary
TOTAL,2018,79218,Hungary
TOTAL,2019,93130,Hungary
TOTAL,2020,101797,Hungary
TOTAL,2011,50256,Ireland
TOTAL,2012,49530,Ireland
TOTAL,2013,48502,Ireland
TOTAL,2014,47349,Ireland
TOTAL,2015,50546,Ireland
TOTAL,2016,51568,Ireland
TOTAL,2017,57255,Ireland
TOTAL,2018,57626,Ireland
TOTAL,2019,59175,Ireland
TOTAL,2020,62664,Ireland
TOTAL,2015,4614,Iceland
TOTAL,2016,5023,Iceland
TOTAL,2017,5328,Iceland
TOTAL,2018,5375,Iceland
TOTAL,2019,5525,Iceland
TOTAL,2020,5701,Iceland
TOTAL,2011,590555,Italy
TOTAL,2012,572412,Italy
TOTAL,2013,549846,Italy
TOTAL,2014,529103,Italy
TOTAL,2015,511405,Italy
TOTAL,2016,508696,Italy
TOTAL,2017,502775,Italy
TOTAL,2018,493674,Italy
TOTAL,2019,479574,Italy
TOTAL,2020,490251,Italy
TOTAL,2011,16995,Lithuania
TOTAL,2012,20242,Lithuania
TOTAL,2013,22736,Lithuania
TOTAL,2014,27543,Lithuania
TOTAL,2015,29067,Lithuania
TOTAL,2016,31151,Lithuania
TOTAL,2017,31708,Lithuania
TOTAL,2018,32535,Lithuania
TOTAL,2019,33036,Lithuania
TOTAL,2020,33264,Lithuania
TOTAL,2011,3300,Luxembourg
TOTAL,2012,3365,Luxembourg
TOTAL,2013,3512,Luxembourg
TOTAL,2014,3542,Luxembourg
TOTAL,2015,3634,Luxembourg
TOTAL,2016,3760,Luxembourg
TOTAL,2017,3930,Luxembourg
TOTAL,2018,4077,Luxembourg
TOTAL,2019,4244,Luxembourg
TOTAL,2020,4309,Luxembourg
TOTAL,2011,6579,Latvia
TOTAL,2012,8000,Latvia
TOTAL,2013,8767,Latvia
TOTAL,2014,9424,Latvia
TOTAL,2015,11057,Latvia
TOTAL,2016,11752,Latvia
TOTAL,2017,11590,Latvia
TOTAL,2018,11635,Latvia
TOTAL,2019,11658,Latvia
TOTAL,2020,11558,Latvia
TOTAL,2011,3924,Malta
TOTAL,2012,3835,Malta
TOTAL,2013,3623,Malta
TOTAL,2014,3758,Malta
TOTAL,2015,3646,Malta
TOTAL,2016,4005,Malta
TOTAL,2017,4125,Malta
TOTAL,2018,4192,Malta
TOTAL,2019,4239,Malta
TOTAL,2020,4360,Malta
TOTAL,2011,128189,Netherlands
TOTAL,2012,134589,Netherlands
TOTAL,2013,152519,Netherlands
TOTAL,2014,154748,Netherlands
TOTAL,2015,160728,Netherlands
TOTAL,2016,167022,Netherlands
TOTAL,2017,173775,Netherlands
TOTAL,2018,187654,Netherlands
TOTAL,2019,203549,Netherlands
TOTAL,2020,217460,Netherlands
TOTAL,2011,50566,Norway
TOTAL,2012,52763,Norway
TOTAL,2013,54064,Norway
TOTAL,2014,55150,Norway
TOTAL,2015,56654,Norway
TOTAL,2016,57377,Norway
TOTAL,2017,57964,Norway
TOTAL,2018,56256,Norway
TOTAL,2019,57416,Norway
TOTAL,2020,58057,Norway
TOTAL,2011,239232,Poland
TOTAL,2012,233731,Poland
TOTAL,2013,223794,Poland
TOTAL,2014,230497,Poland
TOTAL,2015,244361,Poland
TOTAL,2016,264440,Poland
TOTAL,2017,281953,Poland
TOTAL,2018,325663,Poland
TOTAL,2019,355562,Poland
TOTAL,2020,387740,Poland
TOTAL,2011,97980,Portugal
TOTAL,2012,87592,Portugal
TOTAL,2013,81335,Portugal
TOTAL,2014,77844,Portugal
TOTAL,2015,77906,Portugal
TOTAL,2016,78866,Portugal
TOTAL,2017,81629,Portugal
TOTAL,2018,85311,Portugal
TOTAL,2019,90430,Portugal
TOTAL,2020,92328,Portugal
TOTAL,2011,43503,Romania
TOTAL,2012,44607,Romania
TOTAL,2013,45382,Romania
TOTAL,2014,47813,Romania
TOTAL,2015,48341,Romania
TOTAL,2016,49717,Romania
TOTAL,2017,52792,Romania
TOTAL,2018,55948,Romania
TOTAL,2019,60047,Romania
TOTAL,2020,66205,Romania
TOTAL,2011,91540,Sweden
TOTAL,2012,93598,Sweden
TOTAL,2013,94368,Sweden
TOTAL,2014,96694,Sweden
TOTAL,2015,98925,Sweden
TOTAL,2016,101868,Sweden
TOTAL,2017,104097,Sweden
TOTAL,2018,99155,Sweden
TOTAL,2019,100497,Sweden
TOTAL,2020,102966,Sweden
TOTAL,2011,18940,Slovenia
TOTAL,2012,18392,Slovenia
TOTAL,2013,18066,Slovenia
TOTAL,2014,18133,Slovenia
TOTAL,2015,18289,Slovenia
TOTAL,2016,18706,Slovenia
TOTAL,2017,18668,Slovenia
TOTAL,2018,19039,Slovenia
TOTAL,2019,19600,Slovenia
TOTAL,2020,20164,Slovenia
TOTAL,2011,90886,Slovakia
TOTAL,2012,86412,Slovakia
TOTAL,2013,81902,Slovakia
TOTAL,2014,85907,Slovakia
TOTAL,2015,85016,Slovakia
TOTAL,2016,87665,Slovakia
TOTAL,2017,95114,Slovakia
TOTAL,2018,101797,Slovakia
TOTAL,2019,109133,Slovakia
TOTAL,2020,110982,Slovakia
TOTAL,2011,265339,United Kingdom
TOTAL,2012,257192,United Kingdom
TOTAL,2013,262586,United Kingdom
TOTAL,2014,270770,United Kingdom
TOTAL,2015,290976,United Kingdom
TOTAL,2016,314823,United Kingdom
TOTAL,2017,330545,United Kingdom
TOTAL,2018,341592,United Kingdom
